iter	Logloss
410	0.2725268762
411	0.2723456663
412	0.2720710808
413	0.2716344278
414	0.2712570129
415	0.2709415281
416	0.2707160681
417	0.2702447873
418	0.2701673552
419	0.2698563012
420	0.2696685891
421	0.2694464781
422	0.2692154855
423	0.268653336
424	0.2681491321
425	0.2677013481
426	0.2674765916
427	0.2672883217
428	0.2670393786
429	0.2666371647
430	0.2663108449
431	0.2662422813
432	0.2661026591
433	0.2660053777
434	0.2654813773
435	0.2652770483
436	0.2649469371
437	0.2645227625
438	0.2638127621
439	0.2635200279
440	0.2631673525
441	0.2629545274
442	0.2628844009
443	0.2624829192
444	0.2623131316
445	0.2617589872
446	0.2614902686
447	0.2612401365
448	0.2611089298
449	0.2608707683
450	0.2604944886
451	0.260242084
452	0.2600157147
453	0.2598032213
454	0.259446797
455	0.2591629218
456	0.2588058394
457	0.2586491671
458	0.2585306257
459	0.2583843881
460	0.2580818962
461	0.2578516547
462	0.2575188485
463	0.2571498197
464	0.2570748416
465	0.2569148749
466	0.2566397263
467	0.2562873516
468	0.2561062677
469	0.2556360653
470	0.2555637339
471	0.2552859402
472	0.2549948346
473	0.2547724964
474	0.254714822
475	0.2543201039
476	0.2541605157
477	0.2537375894
478	0.253465349
479	0.2532285889
480	0.2528558403
481	0.2525243761
482	0.2521955094
483	0.2517822747
484	0.2516301691
485	0.2515746981
486	0.2511818468
487	0.2510930082
488	0.2510420459
489	0.250695122
490	0.2503705354
491	0.2501488798
492	0.2494404394
493	0.2491403736
494	0.2487761998
495	0.2484547745
496	0.2481264013
497	0.2476408777
498	0.2474269409
499	0.2472119905
